game,seed,outcome,final_depth,max_depth,states_searched,unique_states,backtracks,rss_bytes,wall_ms
beleaguered-castle,1,unsolvable,0,43,2999,1084,2998,11984896,14
beleaguered-castle,2,winnable,3651,3651,228204,92159,224553,360042496,763
beleaguered-castle,3,winnable,3059,3059,10401,4253,7342,22323200,39
beleaguered-castle,4,unsolvable,0,94,3071,1051,3070,12247040,11
beleaguered-castle,5,unsolvable,0,1,4,4,3,12247040,3
beleaguered-castle,6,timeout,7582,10337,2799704,462307,2792122,1431187456,6678
beleaguered-castle,7,timeout,269,8604,2257862,542708,2257593,1545109504,6682
beleaguered-castle,8,winnable,2101,2101,5047,2132,2946,13664256,26
beleaguered-castle,9,timeout,666172,666172,1811454,803483,1145282,2148462592,6957
beleaguered-castle,10,unsolvable,0,6,34,24,33,12247040,3
beleaguered-castle,11,timeout,947607,947607,2082221,971096,1134614,2407444480,7074
beleaguered-castle,12,winnable,59336,81038,2466525,549631,2407189,1632690176,4392
beleaguered-castle,13,winnable,825,825,304649,90529,303824,312279040,695
beleaguered-castle,14,timeout,419610,419610,3136354,876227,2716744,2216198144,6952
beleaguered-castle,15,winnable,1052,1052,2432,1130,1380,12247040,13
beleaguered-castle,16,winnable,17170,17170,156695,43879,139525,181624832,382
beleaguered-castle,17,winnable,415,432,15587,4670,15172,23543808,45
beleaguered-castle,18,winnable,1890,5609,63234,22298,61344,94339072,184
beleaguered-castle,19,timeout,33670,40852,3711385,821982,3677715,2092716032,6859
beleaguered-castle,20,winnable,143,143,2086,802,1943,12247040,13
beleaguered-castle,21,unsolvable,0,4,14,9,13,12247040,3
beleaguered-castle,22,winnable,1703,1703,3901,1769,2198,12247040,20
beleaguered-castle,23,winnable,6160,6160,30359,12505,24199,55984128,109
beleaguered-castle,24,unsolvable,0,11,121,46,120,12247040,5
beleaguered-castle,25,winnable,39774,39774,227410,87226,187636,345370624,696
beleaguered-castle,26,winnable,1655,1655,4762,1988,3107,12689408,20
beleaguered-castle,27,winnable,5280,5280,13305,5595,8025,28246016,51
beleaguered-castle,28,winnable,3777,3777,7340,3915,3563,20979712,36
beleaguered-castle,29,winnable,935364,935364,2495474,945245,1560110,2412433408,6174
beleaguered-castle,30,winnable,978,978,2244,1089,1266,12247040,13
beleaguered-castle,31,winnable,3653,3653,73769,29672,70116,119447552,237
beleaguered-castle,32,unsolvable,0,14,119,45,118,12247040,5
beleaguered-castle,33,timeout,95364,157450,3898322,955632,3802958,2269855744,6948
beleaguered-castle,34,unsolvable,0,8,54,29,53,12247040,4
beleaguered-castle,35,winnable,144618,144618,967132,320030,822514,1102950400,2575
beleaguered-castle,36,timeout,1142366,1142367,2779761,1257127,1637395,2697089024,7168
beleaguered-castle,37,unsolvable,0,186,56294,18876,56293,79499264,156
beleaguered-castle,38,unsolvable,0,8,36,20,35,12247040,3
beleaguered-castle,39,unsolvable,0,36,516,210,515,12247040,6
beleaguered-castle,40,winnable,8172,8172,18197,9097,10025,42516480,74
beleaguered-castle,41,unsolvable,0,13,49,20,48,12247040,6
beleaguered-castle,42,winnable,1452,1452,5209,2234,3757,13893632,22
beleaguered-castle,43,unsolvable,0,81,7272,3237,7271,17944576,31
beleaguered-castle,44,winnable,15393,218409,2261310,411108,2245917,1344102400,3766
beleaguered-castle,45,winnable,6440,6440,19695,7599,13255,36089856,73
beleaguered-castle,46,unsolvable,0,23,471,190,470,12247040,6
beleaguered-castle,47,winnable,1464,1464,8273,3053,6809,17027072,29
beleaguered-castle,48,unsolvable,0,6,25,16,24,12247040,3
beleaguered-castle,49,unsolvable,0,1,2,2,1,12247040,2
beleaguered-castle,50,winnable,10169,10170,25306,11006,15137,50843648,94
