game,seed,outcome,final_depth,max_depth,states_searched,unique_states,backtracks,rss_bytes,wall_ms
free-cell,1,winnable,84165,84165,585251,244619,501086,880328704,4695
free-cell,2,timeout,249226,249226,1216692,547968,967466,1663545344,6775
free-cell,3,winnable,10998,10998,53015,20074,42017,87674880,180
free-cell,4,winnable,1460,1460,3222,1673,1762,12353536,26
free-cell,5,timeout,500626,500626,1547044,628417,1046418,1854476288,6903
free-cell,6,winnable,28888,28888,83360,30312,54472,131137536,272
free-cell,7,winnable,45719,45719,127905,47767,82186,202653696,433
free-cell,8,winnable,24648,24648,364737,173930,340089,648134656,1421
free-cell,9,timeout,840776,840776,2582243,841326,1741467,2243977216,7024
free-cell,10,winnable,20924,20924,72011,24949,51087,109428736,225
free-cell,11,winnable,15148,15148,38001,16357,22853,73564160,151
free-cell,12,winnable,4354,4354,10498,4765,6144,24715264,48
free-cell,13,winnable,2676,2676,5901,3017,3225,17326080,37
free-cell,14,timeout,11089,84248,2553171,813590,2542082,2102935552,6854
free-cell,15,timeout,372227,375680,2521130,1023620,2148903,2410856448,7035
free-cell,16,winnable,77601,77601,276859,102324,199258,411521024,906
free-cell,17,winnable,2928,2928,14870,7888,11942,36839424,67
free-cell,18,winnable,230097,230097,833808,231672,603711,876703744,2145
free-cell,19,winnable,32595,112206,2282432,608078,2249837,1740156928,4941
free-cell,20,winnable,4893,4893,26916,12602,22023,56287232,117
free-cell,21,winnable,449,449,1340,914,891,12353536,13
free-cell,22,winnable,31402,31402,89266,31611,57864,137555968,322
free-cell,23,winnable,107001,107001,402711,151262,295710,589541376,1418
free-cell,24,timeout,108329,109265,3183416,1046211,3075087,2362806272,7029
free-cell,25,winnable,397497,397497,1071980,419785,674483,1401323520,3335
free-cell,26,winnable,20990,20990,57921,21384,36931,95150080,223
free-cell,27,winnable,4179,4257,35965,18446,31786,79671296,168
free-cell,28,winnable,5424,5424,15769,6126,10345,30302208,67
free-cell,29,winnable,43352,43352,122093,46701,78741,199131136,446
free-cell,30,winnable,2365,82686,2034542,496794,2032177,1496928256,4383
free-cell,31,winnable,201007,201007,639915,203890,438908,780345344,1802
free-cell,32,timeout,243982,243989,3078698,1059390,2834716,2428329984,7005
free-cell,33,winnable,62647,62647,384022,168716,321375,634970112,1408
free-cell,34,timeout,39045,52862,3110285,1078525,3071240,2422312960,7010
free-cell,35,winnable,29739,29739,77201,32555,47462,139911168,291
free-cell,36,timeout,24291,208917,3188503,939807,3164212,2251395072,6972
free-cell,37,winnable,67263,93426,1505833,481046,1438570,1493450752,4040
free-cell,38,winnable,30802,30802,69941,33295,39139,143388672,294
free-cell,39,winnable,5002,5002,12099,5766,7097,28778496,55
free-cell,40,winnable,51919,51919,188316,76413,136397,310538240,655
free-cell,41,timeout,222924,223790,3021603,973589,2798679,2310770688,7014
free-cell,42,winnable,3073,3073,7519,3310,4446,18595840,32
free-cell,43,winnable,5388,5388,48608,19279,43220,83210240,176
free-cell,44,winnable,8415,8415,31381,8636,22966,41521152,88
free-cell,45,winnable,7807,26476,327288,101069,319481,396705792,951
free-cell,46,winnable,2874,2874,21389,7781,18515,36278272,82
free-cell,47,winnable,66338,66338,179774,74843,113436,309178368,679
free-cell,48,winnable,8199,8199,91631,29690,83432,125386752,273
free-cell,49,winnable,4011,4011,11783,5479,7772,27389952,52
free-cell,50,winnable,218916,218916,798740,219521,579824,838123520,2154
