game,seed,outcome,final_depth,max_depth,states_searched,unique_states,backtracks,rss_bytes,wall_ms
klondike,1,unsolvable,0,23,158295,71088,158294,208203776,529
klondike,2,winnable,91,91,241,143,150,12251136,5
klondike,3,winnable,90,92,927898,276807,927808,766603264,3786
klondike,4,winnable,104,104,4307,2215,4203,12251136,21
klondike,5,winnable,119,119,17132,7685,17013,26161152,62
klondike,6,winnable,103,103,23432,9759,23329,43192320,103
klondike,7,winnable,93,93,83902,15371,83809,66187264,194
klondike,8,timeout,35,47,2052417,467677,2052382,1390157824,6591
klondike,9,winnable,87,87,2290,389,2203,12251136,10
klondike,10,winnable,95,95,68488,14968,68393,63582208,161
klondike,11,winnable,98,98,419,188,321,12251136,8
klondike,12,winnable,89,89,127,89,38,12251136,3
klondike,13,winnable,91,91,247,112,156,12251136,4
klondike,14,winnable,83,83,18078,2492,17995,13901824,29
klondike,15,timeout,32,79,2138938,582716,2138906,1559625728,6723
klondike,16,timeout,26,67,3276821,1179459,3276795,1603776512,6676
klondike,17,winnable,89,89,3212,1126,3123,12251136,8
klondike,18,winnable,104,104,3359,1029,3255,12251136,16
klondike,19,unsolvable,0,11,880,445,879,12251136,7
klondike,20,winnable,80,80,113,91,33,12251136,3
klondike,21,unsolvable,0,4,41,30,40,12251136,4
klondike,22,timeout,93,210,5945517,3265638,5945424,1664487424,6683
klondike,23,winnable,85,85,96,85,11,12251136,5
klondike,24,winnable,87,87,166,87,79,12251136,4
klondike,25,winnable,104,104,253,132,149,12251136,4
klondike,26,winnable,90,90,160,100,70,12251136,4
klondike,27,winnable,83,83,124,83,41,12251136,4
klondike,28,winnable,88,88,15280,4369,15192,22421504,50
klondike,29,unsolvable,0,1,2,2,1,12251136,4
klondike,30,winnable,78,78,94,78,16,12251136,3
klondike,31,timeout,28,87,2766317,889798,2766289,1765056512,6713
klondike,32,winnable,91,91,254423,52036,254332,180633600,501
klondike,33,timeout,25,44,2283955,829657,2283930,1951182848,6779
klondike,34,winnable,74,74,744357,303968,744283,596836352,1716
klondike,35,winnable,94,94,7335,2453,7241,12668928,27
klondike,36,winnable,99,99,229,136,130,12251136,5
klondike,37,winnable,88,88,123,90,35,12251136,4
klondike,38,winnable,89,89,123,94,34,12251136,4
klondike,39,timeout,39,70,3610871,1104508,3610832,1927884800,6787
klondike,40,unsolvable,0,7,160,88,159,12251136,4
klondike,41,winnable,91,91,265,98,174,12251136,3
klondike,42,winnable,91,91,113,98,22,12251136,6
klondike,43,unsolvable,0,22,223921,80337,223920,235278336,640
klondike,44,winnable,106,106,230,106,124,12251136,7
klondike,45,unsolvable,0,14,2942,1488,2941,12251136,16
klondike,46,winnable,80,80,228,151,148,12251136,4
klondike,47,winnable,83,83,331,100,248,12251136,4
klondike,48,timeout,39,53,3324593,1099905,3324554,1861214208,6749
klondike,49,winnable,99,99,593,223,494,12251136,7
klondike,50,winnable,84,84,115,84,31,12251136,5
