game,seed,outcome,final_depth,max_depth,states_searched,unique_states,backtracks,rss_bytes,wall_ms
spanish-patience,1,winnable,8738,8738,23432,8756,14694,42692608,344
spanish-patience,2,timeout,371194,371194,1279184,371194,907990,1350160384,6577
spanish-patience,3,timeout,579001,579001,1666432,579039,1087431,1848750080,6827
spanish-patience,4,winnable,89324,89324,334217,89332,244893,391602176,936
spanish-patience,5,timeout,627424,627424,1983486,627569,1356062,1962885120,6899
spanish-patience,6,winnable,8762,8762,34342,9067,25580,45187072,96
spanish-patience,7,winnable,573261,573261,1922519,574084,1349258,1876635648,5376
spanish-patience,8,winnable,23861,23861,94044,23861,70183,111640576,260
spanish-patience,9,winnable,10478,10478,45569,10486,35091,52477952,114
spanish-patience,10,timeout,577970,577970,2600484,590642,2022514,1947762688,6856
spanish-patience,11,timeout,690767,690767,2432424,690772,1741657,2112790528,6947
spanish-patience,12,timeout,768672,768672,2817816,768834,2049144,2321272832,6998
spanish-patience,13,winnable,24896,24896,63209,25162,38313,113815552,256
spanish-patience,14,timeout,794127,794127,2515566,794143,1721439,2295443456,7001
spanish-patience,15,winnable,775567,775567,1762931,775702,987364,2211921920,6467
spanish-patience,16,timeout,769033,769033,2709213,769033,1940180,2261458944,6989
spanish-patience,17,timeout,817396,817396,2535167,817460,1717771,2334470144,7054
spanish-patience,18,timeout,870076,870076,2149833,870087,1279757,2360991744,7084
spanish-patience,19,timeout,784346,784346,2299287,784559,1514941,2266427392,7049
spanish-patience,20,winnable,318,318,732,318,414,12275712,6
spanish-patience,21,timeout,764703,764703,2701687,766472,1936984,2260598784,6999
spanish-patience,22,timeout,829349,829349,2520511,829441,1691162,2311585792,7070
spanish-patience,23,timeout,768452,768452,3204447,768453,2435995,2368241664,7048
spanish-patience,24,winnable,4941,4941,12821,4942,7880,25825280,57
spanish-patience,25,winnable,18152,18152,64307,18152,46155,85680128,192
spanish-patience,26,winnable,54473,54473,174973,54543,120500,241356800,574
spanish-patience,27,winnable,425032,425032,1778954,425032,1353922,1538281472,4333
spanish-patience,28,winnable,189830,189830,726810,189830,536980,778043392,2062
spanish-patience,29,winnable,625,625,1865,625,1240,12275712,11
spanish-patience,30,winnable,910,910,2440,910,1530,12275712,12
spanish-patience,31,timeout,810172,810172,2660755,812100,1850583,2335682560,7057
spanish-patience,32,winnable,92606,92606,330411,92608,237805,403329024,1027
spanish-patience,33,winnable,348049,348049,1035266,348050,687217,1291513856,3593
spanish-patience,34,timeout,814151,814151,3246831,814297,2432680,2415374336,7068
spanish-patience,35,timeout,854653,854653,2685005,854671,1830352,2436935680,7101
spanish-patience,36,winnable,703520,703520,2352410,703535,1648890,2188054528,6362
spanish-patience,37,winnable,89314,89314,304566,89314,215252,380604416,944
spanish-patience,38,winnable,786559,786559,2729171,786559,1942612,2353270784,6934
spanish-patience,39,winnable,158453,158453,346465,158536,188012,623439872,1508
spanish-patience,40,winnable,24520,24520,71917,26494,47397,117641216,278
spanish-patience,41,winnable,15725,15725,50646,15727,34921,72974336,168
spanish-patience,42,timeout,844015,844015,2811230,844016,1967215,2421395456,7063
spanish-patience,43,timeout,809304,809304,2461069,809390,1651765,2383728640,7082
spanish-patience,44,winnable,140355,140355,532974,140372,392619,593108992,1458
spanish-patience,45,winnable,302322,302322,915367,328196,613045,1173454848,3104
spanish-patience,46,winnable,12349,12349,54144,12349,41795,60207104,141
spanish-patience,47,winnable,273432,273432,1003291,273432,729859,1061449728,2756
spanish-patience,48,timeout,813207,813207,2657579,813207,1844372,2420826112,7069
spanish-patience,49,unsolvable,0,8,41,15,40,12275712,3
spanish-patience,50,winnable,455741,455741,1436142,455964,980401,1598787584,4275
