instance,seed,run,solution_type,time_us,nodes,unique_nodes,backtracks,dominance_moves,states_removed_from_cache,cache_size,cache_buckets,max_depth,final_depth,resident_memory_bytes,solver_resident_bytes,streamliner,cache_capacity,timeout_ms,solver_commit
bakers-dozen_1,1,1,KILLED,14949,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_2,2,1,KILLED,11505,0,0,0,0,0,0,0,0,0,1933312,0,none,,60000,2c64eea
bakers-dozen_3,3,1,KILLED,17358,0,0,0,0,0,0,0,0,0,1966080,0,none,,60000,2c64eea
bakers-dozen_4,4,1,KILLED,12464,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_5,5,1,KILLED,13631,0,0,0,0,0,0,0,0,0,1966080,0,none,,60000,2c64eea
bakers-dozen_6,6,1,KILLED,14926,0,0,0,0,0,0,0,0,0,1966080,0,none,,60000,2c64eea
bakers-dozen_7,7,1,KILLED,15366,0,0,0,0,0,0,0,0,0,1949696,0,none,,60000,2c64eea
bakers-dozen_8,8,1,KILLED,13466,0,0,0,0,0,0,0,0,0,1966080,0,none,,60000,2c64eea
bakers-dozen_9,9,1,KILLED,12761,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_10,10,1,KILLED,11932,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_11,11,1,KILLED,12270,0,0,0,0,0,0,0,0,0,1966080,0,none,,60000,2c64eea
bakers-dozen_12,12,1,KILLED,12518,0,0,0,0,0,0,0,0,0,1966080,0,none,,60000,2c64eea
bakers-dozen_13,13,1,KILLED,11905,0,0,0,0,0,0,0,0,0,1966080,0,none,,60000,2c64eea
bakers-dozen_14,14,1,KILLED,11558,0,0,0,0,0,0,0,0,0,1933312,0,none,,60000,2c64eea
bakers-dozen_15,15,1,KILLED,13513,0,0,0,0,0,0,0,0,0,1933312,0,none,,60000,2c64eea
bakers-dozen_16,16,1,KILLED,12629,0,0,0,0,0,0,0,0,0,1966080,0,none,,60000,2c64eea
bakers-dozen_17,17,1,KILLED,14883,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_18,18,1,KILLED,12359,0,0,0,0,0,0,0,0,0,1966080,0,none,,60000,2c64eea
bakers-dozen_19,19,1,KILLED,14316,0,0,0,0,0,0,0,0,0,1933312,0,none,,60000,2c64eea
bakers-dozen_20,20,1,KILLED,12765,0,0,0,0,0,0,0,0,0,1933312,0,none,,60000,2c64eea
