instance,seed,run,solution_type,time_us,nodes,unique_nodes,backtracks,dominance_moves,states_removed_from_cache,cache_size,cache_buckets,max_depth,final_depth,resident_memory_bytes,solver_resident_bytes,streamliner,cache_capacity,timeout_ms,solver_commit
bakers-dozen_1,1,1,KILLED,18024,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_2,2,1,KILLED,17385,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_3,3,1,KILLED,21190,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_4,4,1,KILLED,19877,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_5,5,1,KILLED,17614,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_6,6,1,KILLED,16137,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_7,7,1,KILLED,16000,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_8,8,1,KILLED,18044,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_9,9,1,KILLED,19978,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_10,10,1,KILLED,16053,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_11,11,1,KILLED,19881,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_12,12,1,KILLED,21032,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_13,13,1,KILLED,19914,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_14,14,1,KILLED,16830,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_15,15,1,KILLED,16520,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_16,16,1,KILLED,19750,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_17,17,1,KILLED,17921,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_18,18,1,KILLED,18172,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_19,19,1,KILLED,18020,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
bakers-dozen_20,20,1,KILLED,19487,0,0,0,0,0,0,0,0,0,1982464,0,none,,60000,2c64eea
