instance,seed,run,solution_type,time_us,nodes,unique_nodes,backtracks,dominance_moves,states_removed_from_cache,cache_size,cache_buckets,max_depth,final_depth,resident_memory_bytes,solver_resident_bytes,streamliner,cache_capacity,timeout_ms,solver_commit
bakers-game_1,1,1,SOLVED,649860,20051,9750,15854,83,0,9667,100000000,4197,4197,3203940352,3203940352,none,,60000,2c64eea
bakers-game_2,2,1,SOLVED,420046,200309,51583,149918,53,0,51530,100000000,50391,50391,3220635648,3220635648,none,,60000,2c64eea
bakers-game_3,3,1,SOLVED,327463,7793,3421,5165,73,0,3348,100000000,2628,2628,3203710976,3203710976,none,,60000,2c64eea
bakers-game_4,4,1,SOLVED,279077,701,518,546,86,0,432,100000000,155,155,3202760704,3202760704,none,,60000,2c64eea
bakers-game_5,5,1,SOLVED,320447,61336,26894,47300,52,0,26842,100000000,14036,14036,3206742016,3206742016,none,,60000,2c64eea
bakers-game_6,6,1,SOLVED,305679,32280,13038,29112,406,0,12632,100000000,3168,3168,3203842048,3203842048,none,,60000,2c64eea
bakers-game_7,7,1,UNWINNABLE,285280,12250,4471,12249,164,0,4307,100000000,75,0,3202760704,3202760704,none,,60000,2c64eea
bakers-game_8,8,1,SOLVED,298213,16452,8259,14934,907,0,7352,100000000,1518,1518,3203284992,3203284992,none,,60000,2c64eea
bakers-game_9,9,1,SOLVED,295624,9132,4645,6205,52,0,4593,100000000,2927,2927,3203678208,3203678208,none,,60000,2c64eea
bakers-game_10,10,1,SOLVED,310135,37943,13201,25523,52,0,13149,100000000,12420,12420,3207053312,3207053312,none,,60000,2c64eea
bakers-game_11,11,1,SOLVED,296498,23915,11903,23042,4104,0,7799,100000000,873,873,3203022848,3203022848,none,,60000,2c64eea
bakers-game_12,12,1,SOLVED,284198,10419,5605,10195,529,0,5076,100000000,224,224,3202826240,3202826240,none,,60000,2c64eea
bakers-game_13,13,1,SOLVED,293100,29117,9193,21195,88,0,9105,100000000,7922,7922,3205431296,3205431296,none,,60000,2c64eea
bakers-game_14,14,1,SOLVED,285850,18722,7795,11718,60,0,7735,100000000,7004,7004,3204907008,3204907008,none,,60000,2c64eea
bakers-game_15,15,1,SOLVED,280744,7196,3113,4306,54,0,3059,100000000,2890,2890,3203776512,3203776512,none,,60000,2c64eea
bakers-game_16,16,1,UNWINNABLE,279803,14861,7132,14860,1427,0,5705,100000000,51,0,3202744320,3202744320,none,,60000,2c64eea
bakers-game_17,17,1,UNWINNABLE,276884,12560,5871,12559,309,0,5562,100000000,42,0,3202760704,3202760704,none,,60000,2c64eea
bakers-game_18,18,1,SOLVED,282047,13867,6927,9518,71,0,6856,100000000,4349,4349,3203923968,3203923968,none,,60000,2c64eea
bakers-game_19,19,1,SOLVED,270122,7258,3504,5889,95,0,3409,100000000,1369,1369,3203284992,3203284992,none,,60000,2c64eea
bakers-game_20,20,1,SOLVED,269349,1559,1170,1208,289,0,881,100000000,351,351,3202908160,3202908160,none,,60000,2c64eea
