instance,seed,run,solution_type,time_us,nodes,unique_nodes,backtracks,dominance_moves,states_removed_from_cache,cache_size,cache_buckets,max_depth,final_depth,resident_memory_bytes,solver_resident_bytes,streamliner,cache_capacity,timeout_ms,solver_commit
bakers-game_1,1,1,SOLVED,94818,20051,9750,15854,83,0,9667,100000000,4197,4197,803962880,803962880,none,,60000,2c64eea
bakers-game_2,2,1,SOLVED,186416,200309,51583,149918,53,0,51530,100000000,50391,50391,820625408,820625408,none,,60000,2c64eea
bakers-game_3,3,1,SOLVED,102703,7793,3421,5165,73,0,3348,100000000,2628,2628,803749888,803749888,none,,60000,2c64eea
bakers-game_4,4,1,SOLVED,82689,701,518,546,86,0,432,100000000,155,155,802816000,802816000,none,,60000,2c64eea
bakers-game_5,5,1,SOLVED,125806,61336,26894,47300,52,0,26842,100000000,14036,14036,806764544,806764544,none,,60000,2c64eea
bakers-game_6,6,1,SOLVED,108106,32280,13038,29112,406,0,12632,100000000,3168,3168,803864576,803864576,none,,60000,2c64eea
bakers-game_7,7,1,UNWINNABLE,90005,12250,4471,12249,164,0,4307,100000000,75,0,802766848,802766848,none,,60000,2c64eea
bakers-game_8,8,1,SOLVED,103705,16452,8259,14934,907,0,7352,100000000,1518,1518,803307520,803307520,none,,60000,2c64eea
bakers-game_9,9,1,SOLVED,91192,9132,4645,6205,52,0,4593,100000000,2927,2927,803684352,803684352,none,,60000,2c64eea
bakers-game_10,10,1,SOLVED,106869,37943,13201,25523,52,0,13149,100000000,12420,12420,807043072,807043072,none,,60000,2c64eea
bakers-game_11,11,1,SOLVED,109930,23915,11903,23042,4104,0,7799,100000000,873,873,803028992,803028992,none,,60000,2c64eea
bakers-game_12,12,1,SOLVED,85868,10419,5605,10195,529,0,5076,100000000,224,224,802783232,802783232,none,,60000,2c64eea
bakers-game_13,13,1,SOLVED,106336,29117,9193,21195,88,0,9105,100000000,7922,7922,805437440,805437440,none,,60000,2c64eea
bakers-game_14,14,1,SOLVED,104813,18722,7795,11718,60,0,7735,100000000,7004,7004,804995072,804995072,none,,60000,2c64eea
bakers-game_15,15,1,SOLVED,88433,7196,3113,4306,54,0,3059,100000000,2890,2890,803782656,803782656,none,,60000,2c64eea
bakers-game_16,16,1,UNWINNABLE,137872,14861,7132,14860,1427,0,5705,100000000,51,0,802799616,802799616,none,,60000,2c64eea
bakers-game_17,17,1,UNWINNABLE,91369,12560,5871,12559,309,0,5562,100000000,42,0,802734080,802734080,none,,60000,2c64eea
bakers-game_18,18,1,SOLVED,93470,13867,6927,9518,71,0,6856,100000000,4349,4349,803962880,803962880,none,,60000,2c64eea
bakers-game_19,19,1,SOLVED,93947,7258,3504,5889,95,0,3409,100000000,1369,1369,803307520,803307520,none,,60000,2c64eea
bakers-game_20,20,1,SOLVED,81949,1559,1170,1208,289,0,881,100000000,351,351,802914304,802914304,none,,60000,2c64eea
