instance,seed,run,solution_type,time_us,nodes,unique_nodes,backtracks,dominance_moves,states_removed_from_cache,cache_size,cache_buckets,max_depth,final_depth,resident_memory_bytes,solver_resident_bytes,streamliner,cache_capacity,timeout_ms,solver_commit
free-cell_1,1,1,SOLVED,1046313,585251,244619,501086,875,0,243744,100000000,84165,84165,3225305088,3225305088,none,,60000,2c64eea
free-cell_2,2,1,SOLVED,8404831,15294720,5201324,15086802,33,9862,5191429,100000000,380811,207918,3273670656,3273670656,none,,60000,2c64eea
free-cell_3,3,1,SOLVED,324317,53015,20074,42017,27,0,20047,100000000,10998,10998,3206316032,3206316032,none,,60000,2c64eea
free-cell_4,4,1,SOLVED,281103,3222,1673,1762,35,0,1638,100000000,1460,1460,3203252224,3203252224,none,,60000,2c64eea
free-cell_5,5,1,TIMEOUT,70298361,97586058,28248924,69553155,216,1176461,27072247,100000000,28032903,28032903,9392340992,9245147136,none,,60000,2c64eea
free-cell_6,6,1,SOLVED,300051,83360,30312,54472,59,0,30253,100000000,28888,28888,3211853824,3211853824,none,,60000,2c64eea
free-cell_7,7,1,SOLVED,330507,127905,47767,82186,43,0,47724,100000000,45719,45719,3218685952,3218685952,none,,60000,2c64eea
free-cell_8,8,1,SOLVED,458769,364737,173930,340089,1338,0,172592,100000000,24648,24648,3209986048,3209986048,none,,60000,2c64eea
free-cell_9,9,1,SOLVED,16926514,27831524,8221095,19611123,86,34972,8186037,100000000,8220401,8220401,5849137152,5849137152,none,,60000,2c64eea
free-cell_10,10,1,SOLVED,287844,72011,24949,51087,42,0,24907,100000000,20924,20924,3210362880,3210362880,none,,60000,2c64eea
free-cell_11,11,1,SOLVED,268657,38001,16357,22853,38,0,16319,100000000,15148,15148,3207512064,3207512064,none,,60000,2c64eea
free-cell_12,12,1,SOLVED,265963,10498,4765,6144,32,0,4733,100000000,4354,4354,3204120576,3204120576,none,,60000,2c64eea
free-cell_13,13,1,SOLVED,259073,5901,3017,3225,40,0,2977,100000000,2676,2676,3203596288,3203596288,none,,60000,2c64eea
free-cell_14,14,1,SOLVED,4978136,8555325,2820946,8491779,48,1415,2819483,100000000,120659,63546,3226288128,3226288128,none,,60000,2c64eea
free-cell_15,15,1,SOLVED,6995671,12840686,4079479,12683638,38,6747,4072694,100000000,956298,157048,3351674880,3351674880,none,,60000,2c64eea
free-cell_16,16,1,SOLVED,440143,276859,102324,199258,35,0,102289,100000000,77601,77601,3224240128,3224240128,none,,60000,2c64eea
free-cell_17,17,1,SOLVED,260796,14870,7888,11942,99,0,7789,100000000,2928,2928,3203612672,3203612672,none,,60000,2c64eea
free-cell_18,18,1,SOLVED,811961,833808,231672,603711,49,6,231617,100000000,230097,230097,3280207872,3280207872,none,,60000,2c64eea
free-cell_19,19,1,SOLVED,1449292,2282432,608078,2249837,1401,24,606653,100000000,112206,32595,3224371200,3224371200,none,,60000,2c64eea
free-cell_20,20,1,SOLVED,291555,26916,12602,22023,53,0,12549,100000000,4893,4893,3204284416,3204284416,none,,60000,2c64eea
