instance,seed,run,solution_type,time_us,nodes,unique_nodes,backtracks,dominance_moves,states_removed_from_cache,cache_size,cache_buckets,max_depth,final_depth,resident_memory_bytes,solver_resident_bytes,streamliner,cache_capacity,timeout_ms,solver_commit
free-cell_1,1,1,SOLVED,434541,585251,244619,501086,875,0,243744,100000000,84165,84165,825245696,825245696,none,,60000,2c64eea
free-cell_2,2,1,SOLVED,4023362,7875838,2699909,7774833,35,1314,2698560,100000000,253006,101005,847675392,847675392,none,,60000,2c64eea
free-cell_3,3,1,SOLVED,115973,53015,20074,42017,27,0,20047,100000000,10998,10998,806420480,806420480,none,,60000,2c64eea
free-cell_4,4,1,SOLVED,75013,3222,1673,1762,35,0,1638,100000000,1460,1460,803274752,803274752,none,,60000,2c64eea
free-cell_5,5,1,TIMEOUT,70391039,106653708,30910950,75987601,216,1703917,29206817,100000000,30666107,30666107,9339453440,8258813952,none,,60000,2c64eea
free-cell_6,6,1,SOLVED,135706,83360,30312,54472,59,0,30253,100000000,28888,28888,811958272,811958272,none,,60000,2c64eea
free-cell_7,7,1,SOLVED,167971,127905,47767,82186,43,0,47724,100000000,45719,45719,818741248,818741248,none,,60000,2c64eea
free-cell_8,8,1,SOLVED,271496,364737,173930,340089,1338,0,172592,100000000,24648,24648,809943040,809943040,none,,60000,2c64eea
free-cell_9,9,1,SOLVED,37669008,64036212,18726460,45312492,86,413069,18313305,100000000,18723720,18723720,7485702144,7485685760,none,,60000,2c64eea
free-cell_10,10,1,SOLVED,120919,72011,24949,51087,42,0,24907,100000000,20924,20924,810303488,810303488,none,,60000,2c64eea
free-cell_11,11,1,SOLVED,103359,38001,16357,22853,38,0,16319,100000000,15148,15148,807550976,807550976,none,,60000,2c64eea
free-cell_12,12,1,SOLVED,94989,10498,4765,6144,32,0,4733,100000000,4354,4354,804126720,804126720,none,,60000,2c64eea
free-cell_13,13,1,SOLVED,79504,5901,3017,3225,40,0,2977,100000000,2676,2676,803602432,803602432,none,,60000,2c64eea
free-cell_14,14,1,SOLVED,4604066,8555334,2820957,8491788,48,1426,2819483,100000000,120659,63546,826327040,826327040,none,,60000,2c64eea
free-cell_15,15,1,SOLVED,6544265,12840145,4079817,12683097,38,7085,4072694,100000000,954473,157048,951500800,951500800,none,,60000,2c64eea
free-cell_16,16,1,SOLVED,262455,276859,102324,199258,35,0,102289,100000000,77601,77601,824279040,824279040,none,,60000,2c64eea
free-cell_17,17,1,SOLVED,81543,14870,7888,11942,99,0,7789,100000000,2928,2928,803684352,803684352,none,,60000,2c64eea
free-cell_18,18,1,SOLVED,600586,833808,231672,603711,49,6,231617,100000000,230097,230097,880181248,880181248,none,,60000,2c64eea
free-cell_19,19,1,SOLVED,1177635,2282423,608077,2249828,1401,23,606653,100000000,112206,32595,824410112,824410112,none,,60000,2c64eea
free-cell_20,20,1,SOLVED,103043,26916,12602,22023,53,0,12549,100000000,4893,4893,804306944,804306944,none,,60000,2c64eea
