instance,seed,run,solution_type,time_us,nodes,unique_nodes,backtracks,dominance_moves,states_removed_from_cache,cache_size,cache_buckets,max_depth,final_depth,resident_memory_bytes,solver_resident_bytes,streamliner,cache_capacity,timeout_ms,solver_commit
klondike_1,1,1,UNWINNABLE,1760478,158295,71088,158294,19778,0,51310,100000000,23,0,2323005440,2323005440,none,,60000,2c64eea
klondike_2,2,1,SOLVED,516215,241,143,150,29,0,114,100000000,91,91,3202744320,3202744320,none,,60000,2c64eea
klondike_3,3,1,SOLVED,863371,927898,276807,927808,64639,1,212167,100000000,92,90,3202826240,3202826240,none,,60000,2c64eea
klondike_4,4,1,SOLVED,287935,4307,2215,4203,843,0,1372,100000000,104,104,3202744320,3202744320,none,,60000,2c64eea
klondike_5,5,1,SOLVED,300885,17132,7685,17013,2414,0,5271,100000000,119,119,3202793472,3202793472,none,,60000,2c64eea
klondike_6,6,1,SOLVED,316666,23432,9759,23329,288,0,9471,100000000,103,103,3202760704,3202760704,none,,60000,2c64eea
klondike_7,7,1,SOLVED,339950,83902,15371,83809,248,0,15123,100000000,93,93,3202826240,3202826240,none,,60000,2c64eea
klondike_8,8,1,SOLVED,7383808,12701192,2731992,12701101,259264,981,2471747,100000000,91,91,3202793472,3202793472,none,,60000,2c64eea
klondike_9,9,1,SOLVED,324667,2290,389,2203,29,0,360,100000000,87,87,3202809856,3202809856,none,,60000,2c64eea
klondike_10,10,1,SOLVED,329643,68488,14968,68393,431,0,14537,100000000,95,95,3202793472,3202793472,none,,60000,2c64eea
klondike_11,11,1,SOLVED,281299,419,188,321,37,0,151,100000000,98,98,3202727936,3202727936,none,,60000,2c64eea
klondike_12,12,1,SOLVED,283169,127,89,38,26,0,63,100000000,89,89,3202727936,3202727936,none,,60000,2c64eea
klondike_13,13,1,SOLVED,282010,247,112,156,29,0,83,100000000,91,91,3202711552,3202711552,none,,60000,2c64eea
klondike_14,14,1,SOLVED,286844,18078,2492,17995,228,0,2264,100000000,83,83,3202744320,3202744320,none,,60000,2c64eea
