instance,seed,run,solution_type,time_us,nodes,unique_nodes,backtracks,dominance_moves,states_removed_from_cache,cache_size,cache_buckets,max_depth,final_depth,resident_memory_bytes,solver_resident_bytes,streamliner,cache_capacity,timeout_ms,solver_commit
klondike_1,1,1,UNWINNABLE,655083,158295,71088,158294,19778,0,51310,100000000,23,0,802783232,802783232,none,,60000,2c64eea
klondike_2,2,1,SOLVED,86875,241,143,150,29,0,114,100000000,91,91,802750464,802750464,none,,60000,2c64eea
klondike_3,3,1,SOLVED,603195,927898,276807,927808,64639,1,212167,100000000,92,90,802832384,802832384,none,,60000,2c64eea
klondike_4,4,1,SOLVED,90418,4307,2215,4203,843,0,1372,100000000,104,104,802799616,802799616,none,,60000,2c64eea
klondike_5,5,1,SOLVED,101113,17132,7685,17013,2414,0,5271,100000000,119,119,802766848,802766848,none,,60000,2c64eea
klondike_6,6,1,SOLVED,109979,23432,9759,23329,288,0,9471,100000000,103,103,802783232,802783232,none,,60000,2c64eea
klondike_7,7,1,SOLVED,130465,83902,15371,83809,248,0,15123,100000000,93,93,802832384,802832384,none,,60000,2c64eea
klondike_8,8,1,SOLVED,6591559,12701311,2732021,12701220,259274,1000,2471747,100000000,91,91,802816000,802816000,none,,60000,2c64eea
klondike_9,9,1,SOLVED,88087,2290,389,2203,29,0,360,100000000,87,87,802750464,802750464,none,,60000,2c64eea
klondike_10,10,1,SOLVED,128588,68488,14968,68393,431,0,14537,100000000,95,95,802799616,802799616,none,,60000,2c64eea
klondike_11,11,1,SOLVED,89874,419,188,321,37,0,151,100000000,98,98,802750464,802750464,none,,60000,2c64eea
klondike_12,12,1,SOLVED,88217,127,89,38,26,0,63,100000000,89,89,802717696,802717696,none,,60000,2c64eea
klondike_13,13,1,SOLVED,86722,247,112,156,29,0,83,100000000,91,91,802734080,802734080,none,,60000,2c64eea
klondike_14,14,1,SOLVED,95562,18078,2492,17995,228,0,2264,100000000,83,83,802799616,802799616,none,,60000,2c64eea
klondike_15,15,1,UNWINNABLE,32294809,60881102,18672176,60881101,7133944,107938,11430294,100000000,94,0,802799616,802799616,none,,60000,2c64eea
klondike_16,16,1,SOLVED,1596482,3339685,1200733,3339594,648280,13,552440,100000000,91,91,802816000,802816000,none,,60000,2c64eea
klondike_17,17,1,SOLVED,89937,3212,1126,3123,676,0,450,100000000,89,89,802783232,802783232,none,,60000,2c64eea
klondike_18,18,1,SOLVED,87528,3359,1029,3255,82,0,947,100000000,104,104,802734080,802734080,none,,60000,2c64eea
klondike_19,19,1,UNWINNABLE,87152,880,445,879,119,0,326,100000000,11,0,802783232,802783232,none,,60000,2c64eea
klondike_20,20,1,SOLVED,88255,113,91,33,33,0,58,100000000,80,80,802684928,802684928,none,,60000,2c64eea
klondike_21,21,1,UNWINNABLE,107469,41,30,40,0,0,30,100000000,4,0,802684928,802684928,none,,60000,2c64eea
klondike_22,22,1,TIMEOUT,60085613,168090337,76438139,168090283,57036159,464829,18937151,100000000,211,54,802799616,802799616,none,,60000,2c64eea
